file_name,zip_entry_name,size,file_offset
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/AltFormats_505,43,0
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/AltFormats_55,68,107
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/AltFormats_676,40,232
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/AltFormats_95,43,332
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/Google_Sans-400-100_0-0_0.sig,752,431
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/Google_Sans-500-100_0-0_0.sig,752,1256
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/Google_Sans-700-100_0-0_0.sig,752,2080
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/Google_Sans_Text-400-100_0-0_0.sig,752,2904
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/Google_Sans_Text-500-100_0-0_0.sig,752,3736
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/Google_Sans_Text-700-100_0-0_0.sig,752,4568
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/SplitConfig.pb,4,5400
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/_kotlin,0,5464
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/_migrated/pure_java_gpu_database-android_symbols/R.aapt2.txt,0,5516
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/all_signals_50_meters_model_parameters.pb,123,5620
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/all_signals_50_meters_model_parameters_threshold_06.pb,123,5827
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/all_signals_50_meters_model_parameters_threshold_07.pb,123,6047
