12c00000-2ac00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
40020000-40025000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
40033000-40038000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
40069000-40072000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
4012e000-4014f000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
401b9000-401be000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
402c5000-402ce000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
40396000-4039b000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
4040a000-4040f000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
4049e000-404a3000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
404fa000-404ff000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
4053b000-40544000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
405ae000-405c4000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
4067c000-40681000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
406d4000-406d9000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
40787000-4078c000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
407a2000-407a7000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
407ff000-40804000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
408e7000-408ec000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
40951000-40956000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
40ac5000-40ace000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
40b38000-40b3c000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
40d83000-40d88000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
40fa5000-40faa000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
4101f000-41023000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
4108f000-41094000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
411a0000-411aa000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
41245000-41249000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
41274000-41279000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
4127e000-41294000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
413dc000-413e1000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
