12c00000-52c00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
52c00000-52c01000 rw-p 00000000 00:00 0 
52c01000-54c01000 r--s 00000000 00:01 3                                  /memfd:jit-zygote-cache (deleted)
54c01000-56c01000 r-xs 02000000 00:01 3                                  /memfd:jit-zygote-cache (deleted)
56c01000-56c05000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c05000-56c0a000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c0b000-56c3b000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c3b000-56c3f000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c3f000-56c43000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c46000-56c58000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c5b000-56c66000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c66000-56c70000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c73000-56c77000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c77000-56c7c000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56c7d000-56ca2000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56ca2000-56ca7000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56ca9000-56cbb000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56cbd000-56ccb000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56ccb000-56cd0000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56cd2000-56d24000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56d26000-56d2c000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56d2c000-56d30000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56d30000-56dcd000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56dcd000-56dd1000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56dd1000-56dd5000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56dd5000-56df7000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56df9000-56e1d000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56e1d000-56e27000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56e27000-56e31000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56e35000-56e3d000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56e3d000-56e47000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56e49000-56e55000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
56e55000-58e55000 r--s 00000000 00:01 5164                               /memfd:jit-cache (deleted)
58e55000-5ae55000 r-xs 02000000 00:01 5164                               /memfd:jit-cache (deleted)
5ae55000-5b33e000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/user/0/com.snapchat.android/cache/oat_primary/x86_64/base.art]
5b33e000-5b668000 rw-p 00000000 00:00 0                                  [anon:dalvik-large object space allocation]
702b3000-7056c000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot.art]
7056c000-705b5000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-libart.art]
705b5000-705df000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-okhttp.art]
